"DOY" "Depth" "Chl"
226 69.6 0.051
226 91 0.082
226 104.4 0.115
226 117.5 0.162
226 150.5 0.038
226 198 0.012
254 2.9 0.021
254 9.5 0.024
254 19.3 0.024
254 39.9 0.042
254 60.1 0.062
254 85.4 0.093
254 110.6 0.116
254 112.7 0.1
254 122.3 0.082
254 143.1 0.024
254 199.6 0.004
254 251 0.001
288 2.3 0.04
288 9.4 0.038
288 23.1 0.045
288 49.1 0.077
288 69.2 0.101
288 79.7 0.115
288 101.6 0.116
288 119.5 0.074
288 139.6 0.033
288 160.7 0.019
288 201 0.003
309 2.1 0.063
309 10.2 0.063
309 20.6 0.061
309 40.3 0.079
309 71.1 0.201
309 82.7 0.209
309 100.2 0.162
309 121.7 0.069
309 140 0.038
309 159.6 0.019
309 199.8 0.003
309 250.9 0.001
338 2 0.049
338 10.1 0.054
338 19.3 0.068
338 39.6 0.109
338 70.2 0.147
338 81.7 0.15
338 99.6 0.132
338 120.7 0.052
338 140.6 0.012
338 162.2 0.002
15 3.1 0.146
15 10.4 0.099
15 20.3 0.155
15 40.7 0.189
15 89.8 0.129
15 101.2 0.082
15 109.3 0.056
15 142.1 0.017
15 151 0.007
15 170.3 0.003
15 199.9 0.001
15 250.6 0.002
42 2.4 0.102
42 9.7 0.094
42 19.9 0.102
42 39.8 0.108
42 50.5 0.135
42 70.1 0.175
42 99.6 0.135
42 122 0.102
42 148.9 0.03
42 184.7 0.007
42 199.2 0.007
42 248.9 0.001
51 1.4 0.137
51 9.5 0.12
51 18.5 0.161
51 39.4 0.164
51 91.6 0.175
51 99.2 0.204
51 110.6 0.137
51 139.7 0.149
51 149.3 0.114
51 171.9 0.11
51 200.8 0.025
51 252.2 0.003
73 1 0.134
73 20 0.105
73 40 0.137
73 60 0.137
73 80 0.155
73 100 0.082
73 120 0.12
73 140 0.085
80 9.1 0.206
80 20.5 0.181
80 39.2 0.181
80 58.4 0.148
80 81.3 0.148
80 99.7 0.157
80 120.3 0.172
80 151.4 0.181
80 169.8 0.105
80 200.1 0.011
80 247.4 0.004
95 0.9 0.134
95 9.4 0.174
95 21.2 0.239
95 39.4 0.206
95 59.3 0.247
95 79.5 0.206
95 99.4 0.255
95 120.9 0.148
95 152.1 0.123
95 170.3 0.094
95 200.1 0.026
95 252.3 0.015
106 2 0.082
106 19.8 0.137
106 41.3 0.167
106 49.9 0.233
106 59.4 0.23
106 79.3 0.247
106 90.2 0.172
106 99.4 0.189
106 123.7 0.088
106 148.8 0.076
106 199.1 0.008
106 251.7 0.002
133 1.8 0.034
133 9.5 0.037
133 19.9 0.06
133 47.5 0.12
133 80.9 0.288
133 88.6 0.111
133 99.4 0.091
133 119.7 0.041
133 140.8 0.013
133 161.9 0.018
133 202.4 0.011
133 251.1 0.01
170 4.4 0.024
170 9.5 0.024
170 29.6 0.037
170 50.2 0.126
170 73.1 0.135
170 90 0.247
170 107.6 0.132
170 120.4 0.076
170 139.7 0.018
170 157.7 0.004
170 203.5 0.002
170 253.4 0.001
196 0.6 0.022
196 10.3 0.02
196 21.7 0.041
196 40.5 0.035
196 59.4 0.175
196 80.9 0.618
196 100.2 0.363
196 120.8 0.231
196 140.7 0.053
196 170.3 0.039
196 203 0.005
196 250.7 0.005
224 0.5 0.021
224 11.3 0.021
224 20.2 0.02
224 40.2 0.024
224 61 0.108
224 79.9 0.047
224 99.6 0.289
224 120.4 0.346
224 140 0.172
224 160.8 0.036
224 200.3 0.002
224 253.1 0.001
255 3.2 0.091
255 18.3 0.081
255 40.2 0.088
255 62.2 0.132
255 80 0.224
255 100.9 0.146
255 108.6 0.241
255 118.1 0.204
255 140.3 0.116
255 159.2 0.069
255 205 0.007
255 251.4 0.001
280 20.4 0.017
280 39.5 0.042
280 59.4 0.106
280 80 0.163
280 100.9 0.143
280 120.9 0.109
280 138.4 0.087
280 155.4 0.041
280 196.8 0.018
280 252.6 0.052
315 4.3 0.02
315 10.3 0.057
315 22.1 0.028
315 40.4 0.057
315 60.2 0.099
315 80.2 0.147
315 99.5 0.177
315 120.2 0.079
315 141.3 0.06
315 161.5 0.009
315 200.2 0.001
315 251.5 0.001
343 1.5 0.061
343 10.5 0.069
343 19.7 0.061
343 38.5 0.084
343 60.9 0.071
343 79.7 0.099
343 98.9 0.143
343 120.3 0.053
343 139.4 0.053
343 159.4 0.018
343 199.5 0.005
9 3.4 0.266
9 19.1 0.283
9 38.3 0.284
9 59.6 0.246
9 79.9 0.145
9 98.8 0.272
9 110.5 0.22
9 119.7 0.147
9 141.8 0.017
9 158.8 0.007
9 199.7 0.002
9 252.6 0.001
28 1.9 0.223
28 18.3 0.215
28 37.7 0.238
28 60.2 0.211
28 79.8 0.204
28 100 0.219
28 119.5 0.151
28 139.5 0.235
28 159.7 0.185
28 201.3 0.068
28 219.2 0.002
28 250.1 0.001
44 1.4 0.302
44 19.5 0.322
44 41.5 0.322
44 61.3 0.302
44 81.8 0.293
44 102.7 0.253
44 112 0.173
44 122 0.211
44 142.1 0.106
44 162.1 0.084
44 204.4 0.038
44 250.3 0.002
56 1.5 0.173
56 19.8 0.181
56 40.8 0.173
56 61.6 0.091
56 81.4 0.046
56 101.1 0.025
56 120.3 0.041
56 140.7 0.036
56 161.6 0.036
56 201.2 0.025
56 230.7 0.018
56 250.3 0.006
70 1.6 0.113
70 17.9 0.109
70 40.8 0.143
70 62.1 0.227
70 80.5 0.181
70 101.7 0.181
70 111.7 0.113
70 120.2 0.068
70 139.7 0.053
70 160.9 0.024
70 201 0.006
70 251.2 0.004
79 4.4 0.197
79 19.9 0.197
79 40 0.219
79 59.9 0.068
79 80.1 0.03
79 98.8 0.023
79 109.6 0.023
79 120.5 0.025
79 140.6 0.009
79 162.1 0.005
79 202.1 0.002
79 250.7 0.001
103 2.4 0.133
103 20.4 0.151
103 39.6 0.227
103 60.2 0.433
103 79.5 0.113
103 100.3 0.174
103 110 0.284
103 119 0.274
103 138.9 0.265
103 160 0.265
103 199.7 0.171
103 251 0.002
112 2.6 0.058
112 20.9 0.055
112 39.5 0.07
112 61.5 0.121
112 83.1 0.236
112 100.5 0.161
112 113.4 0.073
112 117.4 0.07
112 118.6 0.042
112 159.9 0.017
112 202.1 0.016
112 250.6 0.002
126 0.9 0.025
126 20.6 0.023
126 41.2 0.033
126 60.8 0.129
126 79.8 0.395
126 100.6 0.406
126 119.6 0.379
126 142.6 0.208
126 160.7 0.08
126 205.9 0.016
126 253.9 0.003
140 5.1 0.042
140 19.8 0.058
140 40.2 0.058
140 59.4 0.095
140 80.6 0.255
140 90.8 0.298
140 99.4 0.189
140 118.9 0.085
140 140 0.066
140 158.4 0.016
140 199.6 0.007
140 251.4 0.007
169 2.7 0.041
169 19.2 0.067
169 40.7 0.057
169 62.8 0.104
169 80.5 0.31
169 90.9 0.188
169 100.5 0.111
169 120 0.057
169 140.5 0.005
169 158.8 0.002
169 201.4 0.002
169 253.3 0.001
196 1.4 0.034
196 18.7 0.032
196 38.6 0.045
196 49.1 0.079
196 59.6 0.071
196 78.8 0.12
196 99.7 0.177
196 121.1 0.167
196 141.8 0.078
196 200.5 0.008
196 252.1 0.001
231 1.9 0.043
231 9.1 0.044
231 30 0.062
231 40.4 0.066
231 51 0.062
231 62.1 0.093
231 70.8 0.091
231 79.7 0.13
231 123.7 0.174
231 162.6 0.056
231 248.6 0.005
259 2.2 0.055
259 21.2 0.035
259 40.3 0.053
259 50.2 0.105
259 60.8 0.208
259 80.1 0.452
259 98.4 0.295
259 123 0.229
259 137.7 0.065
259 159.2 0.063
259 199.1 0.035
259 251.7 0.016
288 198.8 0.01
288 159.3 0.008
288 139.9 0.021
288 119.9 0.047
288 99.8 0.076
288 80.7 0.208
288 59.7 0.142
288 50.7 0.064
288 40.7 0.073
288 19.7 0.07
288 1.9 0.055
317 201.7 0.01
317 160.5 0.039
317 140 0.068
317 118.7 0.088
317 98.6 0.253
317 88.1 0.156
317 81 0.107
317 61.5 0.098
317 38.8 0.088
317 19.3 0.098
317 2 0.098
342 160.1 0.019
342 140.4 0.029
342 123.3 0.058
342 99.1 0.117
342 91.2 0.185
342 81.4 0.097
342 60 0.234
342 39.7 0.253
342 20.7 0.244
342 2.5 0.253
12 160.3 0.01
12 121.4 0.039
12 100.7 0.097
12 80.6 0.185
12 70.4 0.156
12 50.3 0.175
12 41.2 0.136
12 21.1 0.175
12 11.2 0.107
12 0.9 0.117
25 199.3 0
25 159.1 0.029
25 137.9 0.049
25 131.4 0.058
25 120.8 0.068
25 101.7 0.195
25 81.5 0.205
25 61.7 0.175
25 41.9 0.156
25 20.1 0.136
25 2.2 0.136
40 161.7 0.01
40 140.2 0.019
40 121.9 0.097
40 101.9 0.244
40 81.2 0.312
40 62.5 0.341
40 42.3 0.283
40 20.5 0.283
40 11 0.283
40 1.9 0.273
56 196 0.019
56 158.2 0.312
56 139.2 0.39
56 98.2 0.283
56 90.3 0.4
56 79.2 0.39
56 42.8 0.4
56 18.9 0.37
56 4.1 0.39
69 201.2 0.01
69 157.1 0.058
69 149.4 0.078
69 130.8 0.205
69 119.9 0.263
69 101.8 0.273
69 83 0.331
69 61.6 0.351
69 41.5 0.312
69 21.7 0.302
69 2.8 0.273
89 200 0.01
89 160.5 0.029
89 141.6 0.078
89 121.9 0.175
89 101.2 0.312
89 81.1 0.244
89 60.8 0.195
89 40.1 0.097
89 21.4 0.068
89 10.9 0.068
89 3.3 0.068
104 203.6 0.01
104 153.1 0.097
104 101.7 0.224
104 89.9 0.156
104 80.1 0.117
104 69.3 0.088
104 57.2 0.068
104 50.1 0.068
104 21.3 0.068
104 11.7 0.068
104 6.1 0.068
117 253.5 0.01
117 201.8 0.01
117 160.9 0.019
117 141.4 0.039
117 120.4 0.107
117 100.7 0.214
117 80.6 0.419
117 61.6 0.253
117 55.2 0.224
117 39.8 0.156
117 20 0.146
117 3.6 0.136
129 245.7 0.01
129 193.7 0.01
129 148 0.019
129 97.1 0.575
129 87.4 0.39
129 77.7 0.283
129 68.1 0.858
129 57.9 0.458
129 48.2 0.224
129 20 0.088
129 10.4 0.107
129 3.6 0.098
166 4.7 0.049
166 11 0.049
166 20.6 0.049
166 40.7 0.068
166 60.4 0.136
166 80.9 0.253
166 102.1 0.283
166 120.1 0.185
166 162 0.019
166 201.8 0.01
194 1.5 0.039
194 11 0.039
194 20.1 0.039
194 41 0.049
194 60.3 0.078
194 80.9 0.136
194 100.3 0.205
194 121.5 0.283
194 140.8 0.097
194 161.5 0.068
194 201.2 0.019
230 1.9 0.059
230 10.4 0.059
230 20.2 0.068
230 40.6 0.068
230 61.3 0.117
230 81.4 0.137
230 100.6 0.156
230 120.1 0.136
230 143.2 0.078
230 160.7 0.058
230 200.8 0.019
257 2.1 0.049
257 20.5 0.078
257 39.7 0.098
257 59.9 0.127
257 80.5 0.185
257 100.4 0.283
257 120.3 0.136
257 141.8 0.088
257 159.7 0.039
285 1.9 0.078
285 11.1 0.098
285 20.2 0.098
285 41.3 0.137
285 51.4 0.185
285 75.9 0.214
285 90.9 0.175
285 120.2 0.049
285 139.5 0.049
285 159.9 0.019
313 1.8 0.049
313 10.9 0.059
313 21 0.059
313 40.8 0.068
313 60.7 0.117
313 79.6 0.185
313 100.5 0.185
313 119.9 0.146
313 139.6 0.078
313 160.3 0.039
313 200.2 0.019
341 2.2 0.039
341 10 0.039
341 20.9 0.049
341 41.5 0.049
341 58.9 0.088
341 80.1 0.136
341 99.7 0.068
341 120 0.078
341 139.9 0.029
341 159.2 0.01
341 198.6 0
12 2.2 0.127
12 10.2 0.107
12 20.5 0.117
12 39.9 0.156
12 60.3 0.117
12 79.7 0.127
12 100.4 0.166
12 120.2 0.107
12 140 0.058
12 160.8 0.029
12 200.4 0.01
49 1.7 0.136
49 10.1 0.185
49 20.6 0.166
49 40.2 0.263
49 59.7 0.282
49 80.3 0.214
49 99.5 0.214
49 119.6 0.049
49 140.3 0.039
49 158.8 0.029
49 200.4 0.01
59 3.5 0.389
59 11.3 0.302
59 20.7 0.302
59 40.9 0.312
59 60.8 0.672
59 82.4 0.487
59 102 0.195
59 119.6 0.107
59 141.9 0.136
59 160.5 0.068
59 200.9 0.039
80 4.5 0.234
80 12.3 0.243
80 19.9 0.292
80 41 0.282
80 58.3 0.321
80 82.1 0.234
80 98.8 0.195
80 124 0.243
80 139.4 0.263
80 160.4 0.282
80 203 0.302
80 255 0.321
96 2.1 0.088
96 9.6 0.097
96 21 0.097
96 39.3 0.146
96 58.9 0.214
96 79.6 0.312
96 100.1 0.36
96 120 0.205
96 136.7 0.244
96 159 0.117
96 201.2 0.058
109 1.6 0.049
109 11.2 0.058
109 20.6 0.058
109 40.5 0.058
109 60.6 0.107
109 79.6 0.185
109 100.3 0.205
109 120.8 0.273
109 140.7 0.253
109 160.9 0.058
109 200.8 0.039
123 2.3 0.059
123 12 0.059
123 20.4 0.078
123 41.2 0.097
123 60 0.244
123 81.2 0.429
123 100.7 0.185
123 120.9 0.156
123 141.9 0.097
123 161.1 0.097
123 200.7 0.049
123 250.8 0.019
137 3.3 0.049
137 12.1 0.049
137 21.4 0.068
137 40.8 0.058
137 61.7 0.127
137 79.9 0.195
137 100 0.283
137 120.3 0.244
137 140.5 0.312
137 161 0.049
137 199.7 0.019
165 2.8 0.049
165 10.6 0.078
165 19.7 0.049
165 40.5 0.068
165 60.1 0.107
165 79.3 0.166
165 98.9 0.292
165 119.6 0.049
165 139.9 0.068
165 160.5 0.058
200 11.5 0.073
200 21.2 0.09
200 40.7 0.101
200 61.7 0.204
200 80.9 0.312
200 100.8 0.117
200 120.7 0.118
200 140.6 0.001
200 160.4 0.179
200 200.8 0.079
228 1.9 0.047
228 11.7 0.068
228 21.1 0.074
228 41.9 0.108
228 61 0.172
228 79.9 0.249
228 141.5 0.186
228 161 0.049
228 201.8 0.004
228 252.3 0.002
263 1.8 0.122
263 11.9 0.119
263 20.7 0.118
263 41.6 0.138
263 61.5 0.272
263 81 0.462
263 100.7 0.435
263 120.8 0.341
263 140.7 0.167
263 160.7 0.076
263 251.4 0.001
292 3.3 0.291
292 10.3 0.351
292 21.1 0.369
292 42 0.35
292 61.4 0.253
292 81.6 0.185
292 100.2 0.087
292 121.7 0.039
292 140.1 0.029
292 161.4 0.029
292 200.4 0.01
292 251.8 0
319 2.5 0.087
319 11.4 0.097
319 20.2 0.087
319 41.3 0.097
319 60.5 0.107
319 80.3 0.233
319 100.1 0.194
319 120.9 0.087
319 140.3 0.049
319 161.4 0.029
319 201.6 0
343 3 0.1
343 10.5 0.078
343 22.5 0.078
343 40.2 0.097
343 59.2 0.146
343 80.8 0.185
343 100 0.194
343 120.5 0.078
343 140.5 0.039
343 160.7 0.019
343 200.8 0
11 2.5 0.16
11 10 0.117
11 18.8 0.156
11 39.1 0.175
11 59.3 0.175
11 81.3 0.175
11 100.4 0.185
11 120.9 0.058
11 140.9 0.039
11 158.4 0.01
11 199.4 0
11 252.5 0
32 3.7 0.175
32 10.3 0.165
32 20.7 0.194
32 38.7 0.224
32 60.3 0.243
32 80.6 0.214
32 99.7 0.224
32 119.7 0.126
32 138.1 0.175
32 159 0.078
32 201.4 0.049
32 252.6 0
45 3.7 0.29
45 11.1 0.224
45 21.7 0.282
45 39.1 0.243
45 59.6 0.272
45 80.3 0.243
45 101 0.243
45 120.5 0.233
45 139.6 0.224
45 159.5 0.243
45 201.4 0.21
45 251.1 0.039
60 3.7 0.321
60 10.9 0.292
60 22.2 0.428
60 40.8 0.525
60 61.7 0.418
60 82.5 0.379
60 101 0.35
60 121.1 0.321
60 140.7 0.282
60 160.6 0.194
60 200.2 0.019
60 251.6 0.019
75 3.2 0.286
75 11.3 0.26
75 21.6 0.268
75 41 0.364
75 61.6 0.337
75 81.4 0.352
75 99.1 0.295
75 121.7 0.242
75 141.2 0.242
75 160.6 0.268
75 200.4 0.295
75 250.7 0.031
88 3.1 0.165
88 11.8 0.194
88 20.3 0.204
88 40.1 0.194
88 59.5 0.194
88 80.4 0.194
88 98.7 0.224
88 121.9 0.194
88 140.2 0.194
88 159.8 0.194
88 200.3 0.146
88 249.9 0.01
101 3.2 0.107
101 9.6 0.087
101 20.4 0.107
101 40.7 0.117
101 59.4 0.146
101 79.5 0.243
101 101.8 0.078
101 119.8 0.058
101 140.6 0.029
101 160.7 0.039
101 201.4 0.019
101 252.6 0.01
117 2.4 0.021
117 11.4 0.02
117 22.5 0.021
117 40.6 0.02
117 60.8 0.082
117 82.2 0.268
117 100.9 0.171
117 120.9 0.052
117 140.2 0.02
117 160 0.015
117 201.1 0.003
117 250.1 0.001
131 3.6 0.163
131 11.4 0.158
131 20.9 0.22
131 41.2 0.33
131 62.5 0.415
131 81.5 0.195
131 102 0.034
131 120.5 0.034
131 139.6 0.023
131 161.1 0.015
131 199.4 0.007
131 252.2 0.013
133 3.8 0.107
133 21.6 0.146
133 41.8 0.253
133 62 0.321
133 81.8 0.097
133 100 0.049
133 122.8 0.058
164 2.6 0.049
164 10.1 0.039
164 19.5 0.029
164 40.4 0.049
164 59.8 0.136
164 80.4 0.233
164 100.5 0.156
164 119.6 0.146
164 140.3 0.058
164 162.5 0.01
164 199.8 0.01
164 251.9 0
164 2.7 0.039
164 19.9 0.049
164 39.8 0.068
164 60.8 0.097
164 81.6 0.165
164 100.6 0.35
192 3.2 0.039
192 10.8 0.049
192 19.4 0.049
192 40.3 0.058
192 59.8 0.117
192 81.3 0.185
192 100.7 1.147
192 121.8 0.574
192 140.7 0.107
192 161.1 0.039
192 201.3 0.01
234 2.1 0.029
234 11 0.029
234 22.1 0.029
234 41 0.049
234 61.7 0.087
234 81.1 0.156
234 101.3 0.194
234 120.9 0.204
234 140.7 0.126
234 161.7 0.097
234 198.7 0.029
256 3.1 0.03
256 12 0.039
256 22.2 0.039
256 39.2 0.039
256 61.4 0.078
256 80.2 0.146
256 101.7 0.243
256 119.9 0.136
256 140.6 0.058
256 158.8 0.039
256 200.9 0.01
286 2.6 0.039
286 11.2 0.039
286 21 0.049
286 41.4 0.049
286 61.4 0.087
286 80.5 0.185
286 99.9 0.204
286 121.6 0.185
286 141.6 0.058
286 160.7 0.039
286 201 0.01
286 251.6 0
315 4 0.117
315 10.2 0.117
315 21.2 0.156
315 39.3 0.156
315 60.4 0.175
315 80.4 0.204
315 99.9 0.204
315 120.3 0.175
315 140.3 0.097
315 162.2 0.097
315 200.3 0.01
315 253.1 0
349 0.7 0.134
349 11.2 0.135
349 19.8 0.124
349 39.5 0.154
349 59.7 0.178
349 78.6 0.232
349 98.6 0.106
349 120.7 0.077
349 138.5 0.057
349 158.7 0.027
349 198.8 0.011
349 248 0.002
30 1.9 0.293
30 9.3 0.318
30 20.7 0.354
30 39.5 0.366
30 60.4 0.305
30 79.8 0.257
30 101.1 0.139
30 119.5 0.12
30 139.9 0.163
30 158.4 0.183
30 199 0.106
30 249.4 0.002
46 3.9 0.327
46 10.7 0.342
46 20.5 0.342
46 40.6 0.366
46 59.2 0.33
46 79.2 0.281
46 100.6 0.33
46 121.9 0.268
46 140.6 0.305
46 158.2 0.056
46 200.9 0.004
46 249.6 0.002
59 3.1 0.281
59 11 0.305
59 20.7 0.305
59 40.1 0.366
59 60.8 0.428
59 81.6 0.342
59 100.6 0.366
59 119.4 0.305
59 140.5 0.268
59 160.3 0.082
59 200.3 0.015
59 251 0.005
75 11.6 0.087
75 21.7 0.106
75 40.9 0.144
75 60.3 0.378
75 80.2 0.232
75 100.9 0.232
75 120.3 0.087
75 139.6 0.033
75 161.1 0.039
75 199 0.006
75 251 0.002
88 3.4 0.163
88 10.7 0.139
88 20 0.173
88 40.7 0.428
88 60.2 0.378
88 80.9 0.391
88 99.7 0.268
88 121.3 0.091
88 161.8 0.024
88 200.2 0.016
88 251.9 0.009
100 3.1 0.111
100 10.7 0.096
100 19.2 0.111
100 40.5 0.111
100 60.7 0.428
100 79.2 0.22
100 98.6 0.062
100 120.6 0.037
100 140.5 0.013
100 161.9 0.008
100 200 0.002
100 250.6 0.002
104 19.6 0.12
104 20.5 0.144
104 80.2 0.305
104 79.6 0.293
104 86 0.268
104 85.4 0.244
104 201.5 0.012
104 201.5 0.016
114 3.1 0.065
114 11.3 0.087
114 20.1 0.095
114 40.3 0.433
114 59.9 0.866
114 80.8 0.467
114 99.8 0.147
114 120.7 0.091
114 140.9 0.052
114 160.1 0.109
114 201.4 0.069
114 250.4 0.025
128 3.1 0.065
128 9.5 0.059
128 19.5 0.06
128 39.4 0.069
128 58.7 0.157
128 80.2 0.467
128 98.9 0.299
128 140.8 0.104
128 160.9 0.074
128 199.2 0.019
163 2.7 0.036
163 10.1 0.041
163 20.4 0.049
163 41.1 0.061
163 61.6 0.091
163 80.8 0.148
163 100.6 0.272
163 120.7 0.158
163 141.2 0.074
163 160.1 0.026
163 201.5 0.005
163 250.9 0.002
186 3.3 0.06
186 10 0.065
186 40.2 0.095
186 99.9 0.147
186 3.6 0.052
186 20.5 0.173
186 40.8 0.087
186 61.1 0.065
186 80.7 0.261
186 100.3 0.083
186 3.3 0.052
186 19.6 0.042
186 39.5 0.087
186 60.4 0.204
186 79.8 0.139
186 99.3 0.204
187 2.7 0.068
187 10.2 0.063
187 39.7 0.091
187 99.8 0.261
187 2.8 0.052
187 21.8 0.065
187 40.2 0.109
187 60.1 0.165
187 80.2 0.213
187 100.2 0.261
187 3.8 0.035
187 29.6 0.05
187 39.3 0.069
187 58.3 0.148
187 79.4 0.192
187 99.8 0.215
191 3.5 0.059
191 10.5 0.065
191 20.3 0.065
191 40.2 0.083
191 60.4 0.134
191 80 0.363
191 99.7 0.117
191 120.3 0.048
191 139.5 0.005
191 161 0.002
191 200.1 0.002
191 250.6 0.003
193 4.9 0.038
193 19.2 0.046
193 60 0.111
193 81.3 0.222
193 98 0.208
193 119.1 0.179
193 140.2 0.074
193 4.2 0.031
193 19.4 0.039
193 40.6 0.062
193 59.1 0.105
193 79.1 0.131
193 99.1 0.238
193 118.5 0.114
193 138.2 0.054
219 3.2 0.025
219 9.9 0.029
219 19.7 0.033
219 39.2 0.069
219 59.4 0.095
219 80.1 0.17
219 100.2 0.158
219 120.4 0.056
219 140.3 0.042
