"DOY" "Depth" "Chl"
219 159.9 0.019
219 199.7 0.004
219 250.5 0.002
247 2.9 0.034
247 10.1 0.03
247 19.6 0.036
247 39.4 0.052
247 59.6 0.083
247 79.8 0.125
247 99.9 0.147
247 119.3 0.056
247 139.4 0.039
247 159.4 0.026
247 199.4 0.005
247 248.7 0.002
283 2.6 0.044
283 11.1 0.044
283 20.3 0.046
283 40.1 0.055
283 60.3 0.109
283 81 0.139
283 100.7 0.102
283 119.9 0.048
283 140 0.039
283 161.3 0.026
283 199.1 0.006
283 252.3 0.001
311 3.9 0.044
311 10.9 0.059
311 21.9 0.055
311 40.2 0.058
311 60.4 0.1
311 79.6 0.109
311 101.4 0.06
311 120.1 0.035
311 139.4 0.029
311 160.3 0.017
311 200.5 0.004
311 251.5 0.001
347 3.7 0.215
347 11.2 0.204
347 20.8 0.215
347 41.4 0.226
347 61.9 0.249
347 80.9 0.226
347 100.6 0.215
347 120.3 0.215
347 141.4 0.238
347 160.2 0.204
347 201 0.005
347 251.9 0.006
14 4.6 0.158
14 9.5 0.158
14 20.2 0.17
14 39.7 0.158
14 60.7 0.158
14 78.5 0.147
14 98.6 0.125
14 118.8 0.056
14 139.9 0.06
14 159 0.023
14 199.2 0.008
28 2.9 0.249
28 10.6 0.238
28 20.5 0.226
28 39.7 0.192
28 59.8 0.238
28 79.5 0.226
28 100.1 0.215
28 120.6 0.044
28 139.3 0.023
28 161.1 0.014
28 200.4 0.002
28 250.9 0.001
38 3 0.06
38 10.5 0.06
38 20.7 0.065
38 40.7 0.083
38 61.2 0.139
38 80.7 0.226
38 99.7 0.158
38 120.3 0.056
38 139.3 0.023
38 160.6 0.015
38 200.7 0.002
38 250.6 0
52 3.6 0.052
52 11.2 0.056
52 21 0.058
52 40.9 0.065
52 60.3 0.1
52 80.6 0.13
52 99.6 0.181
52 119.5 0.074
52 140.2 0.03
52 160.1 0.037
52 200.6 0.007
64 3.5 0.042
64 10.7 0.042
64 20.9 0.042
64 40.1 0.053
64 60.8 0.083
64 79.8 0.139
64 100.2 0.17
64 120.2 0.17
64 140.1 0.065
64 159.2 0.033
64 199.6 0.015
64 250.8 0.005
78 3.1 0.053
78 10.6 0.065
78 19.9 0.06
78 40.8 0.069
78 60.3 0.078
78 80.5 0.095
78 100 0.238
78 120.5 0.124
78 140.3 0.065
78 160.3 0.016
78 200.3 0.001
78 250 0.001
99 3.7 0.122
99 11.7 0.125
99 21.5 0.125
99 40.6 0.139
99 61.8 0.182
99 80.4 0.192
99 99.9 0.215
99 119.8 0.192
99 140.8 0.204
99 160 0.158
99 201.5 0.051
99 249.6 0.002
126 2.6 0.063
126 10.7 0.062
126 21 0.069
126 40.7 0.083
126 60.4 0.091
126 80.3 0.181
126 99.9 0.17
126 120.2 0.124
126 140.4 0.056
126 159.9 0.06
126 200.8 0.026
126 250.9 0.01
162 2.7 0.05
162 10.3 0.062
162 19.7 0.061
162 39.5 0.069
162 59.6 0.134
162 79 0.249
162 100 0.158
162 119.8 0.042
162 139.6 0.069
162 158.4 0.029
162 200.2 0.005
162 249.9 0.005
197 2.6 0.028
197 10.1 0.033
197 40.6 0.047
197 59.5 0.078
197 79.8 0.125
197 99.8 0.215
197 120.2 0.087
197 139.1 0.06
197 160.3 0.035
197 200 0.003
197 249.7 0.002
224 2 0.033
224 9.8 0.036
224 20.5 0.03
224 40 0.04
224 60.6 0.054
224 80.5 0.083
224 100.8 0.122
224 121 0.147
224 140.9 0.08
224 161.6 0.048
224 200.5 0.02
224 250.3 0.004
255 2.9 0.032
255 10.2 0.032
255 20.3 0.037
255 40.6 0.042
255 60 0.062
255 79.3 0.095
255 100.5 0.148
255 119.7 0.147
255 139.1 0.09
255 161.1 0.039
255 199.7 0.011
255 250.3 0.003
280 2.6 0.052
280 9.9 0.042
280 21 0.044
280 40.2 0.074
280 60.7 0.113
280 79.5 0.134
280 100.1 0.104
280 120.6 0.03
280 140.4 0.03
280 161 0.025
280 201.2 0.002
280 249.6 0.001
316 2.2 0.078
316 10.4 0.073
316 19.3 0.068
316 40.1 0.082
316 59.7 0.119
316 79.7 0.327
316 99.2 0.127
316 119.5 0.059
316 139.9 0.027
316 159.8 0.027
316 200.6 0.002
343 2.1 0.213
343 10.1 0.227
343 20.2 0.241
343 39.4 0.269
343 59.1 0.256
343 80.3 0.256
343 100.1 0.198
343 120.3 0.046
343 139.2 0.025
343 161 0.015
343 200.3 0.008
343 250.2 0.002
13 3.9 0.078
13 9.8 0.078
13 20.2 0.078
13 40.1 0.1
13 60.1 0.256
13 80.2 0.269
13 100.1 0.132
13 120.9 0.02
13 140.8 0.015
13 161.3 0.008
13 200.9 0.007
13 251.3 0.003
43 2.6 0.256
43 10.2 0.198
43 20.4 0.241
43 41.3 0.284
43 61.1 0.369
43 81.1 0.369
43 99.1 0.284
43 120.1 0.185
43 139.3 0.1
43 160.5 0.059
43 199.7 0.019
43 250.5 0.008
59 2.7 0.256
59 10.4 0.284
59 19.8 0.312
59 40.7 0.327
59 58.8 0.355
59 81.4 0.298
59 99.6 0.341
59 118.4 0.298
59 140 0.04
59 158.7 0.02
59 201.5 0.004
59 248.3 0.001
71 4.4 0.269
71 9.6 0.256
71 18.1 0.341
71 40 0.355
71 59.7 0.298
71 79.9 0.141
71 100.3 0.132
71 118.6 0.137
71 139.3 0.052
71 158.9 0.062
71 197.5 0.048
71 253 0.013
84 3.1 0.137
84 10 0.132
84 20.2 0.127
84 40.6 0.155
84 60.1 0.213
84 80.2 0.146
84 99.1 0.151
84 120.2 0.054
84 140.4 0.058
84 161.5 0.059
84 199.3 0.102
84 250.3 0.007
97 2.8 0.146
97 10.6 0.159
97 20.4 0.151
97 40.7 0.164
97 60.4 0.155
97 80.4 0.241
97 100.2 0.1
97 120.6 0.054
97 140.4 0.029
97 159.6 0.018
97 200.4 0.009
107 3.5 0.068
107 9.3 0.068
107 20 0.068
107 40.8 0.064
107 60.4 0.119
107 79.8 0.227
107 99.5 0.164
107 120.6 0.155
107 140.4 0.095
107 160.4 0.053
107 199.3 0.011
107 249.6 0.005
125 2.5 0.086
125 10 0.087
125 20.1 0.068
125 39.8 0.087
125 60.1 0.127
125 80.9 0.284
125 101.2 0.241
125 120.2 0.082
125 139 0.029
125 161.1 0.022
125 200.3 0.011
125 250.7 0.001
153 3 0.082
153 8.7 0.078
153 18.7 0.087
153 36.9 0.091
153 60.1 0.114
153 79.2 0.412
153 99.5 0.212
153 119.2 0.127
153 140 0.073
153 160.9 0.025
153 199.8 0.004
153 247.5 0.002
188 2.9 0.018
188 9.9 0.016
188 19.9 0.085
188 40.1 0.082
188 60.3 0.123
188 80.5 0.241
188 100.5 0.284
188 120.9 0.127
188 140.1 0.073
188 159.3 0.039
188 200.2 0.008
188 250.2 0
223 3.7 0.058
223 9.5 0.068
223 20.6 0.06
223 39.7 0.056
223 59.9 0.123
223 80.5 0.151
223 100 0.298
223 119.2 0.127
223 140.9 0.058
223 159.9 0.035
223 199.7 0.003
223 250.8 0.001
253 2.5 0.077
253 10.9 0.075
253 19.5 0.077
253 40.4 0.073
253 60.9 0.137
253 80.8 0.412
253 101.4 0.157
253 120.7 0.054
253 141.2 0.04
253 158.6 0.017
253 200.6 0.007
253 251.4 0.003
295 3.3 0.073
295 10.6 0.071
295 20.2 0.081
295 38.9 0.09
295 60.2 0.146
295 81.1 0.283
295 100.7 0.127
295 121 0.059
295 140.7 0.032
295 160.2 0.025
295 251 0.004
321 2.7 0.068
321 10.4 0.068
321 19.6 0.059
321 39.9 0.095
321 60.2 0.119
321 79.1 0.227
321 100.4 0.086
321 119.5 0.037
321 140.9 0.022
321 160.7 0.013
321 200.7 0.005
321 250.4 0.011
342 2.4 0.07
342 10 0.068
342 20.3 0.08
342 40.3 0.082
342 59.7 0.078
342 80.4 0.114
342 99.6 0.198
342 119.6 0.059
342 139.9 0.027
342 159.5 0.022
342 201.4 0.009
342 251.1 0.002
15 2.6 0.083
15 9.8 0.083
15 19.4 0.078
15 39 0.089
15 59.3 0.116
15 79.8 0.138
15 98.4 0.155
15 117.6 0.1
15 137.2 0.039
15 156.7 0.039
15 196.8 0.014
15 246.4 0.004
27 2.8 0.081
27 10.2 0.081
27 20.9 0.076
27 41.4 0.087
27 59.5 0.113
27 79.7 0.134
27 101.8 0.151
27 115.7 0.097
27 139.8 0.038
27 160.7 0.038
27 200 0.014
27 248.5 0.004
43 3 0.183
43 11.1 0.253
43 19.9 0.225
43 39 0.253
43 60.4 0.253
43 80.9 0.211
43 100.2 0.204
43 121.4 0.108
43 141.3 0.032
43 160.3 0.021
43 201.4 0.004
43 250.1 0.009
55 5.5 0.281
55 10.1 0.281
55 19.9 0.281
55 39.8 0.296
55 61.2 0.281
55 80.5 0.309
55 101.1 0.281
55 120.1 0.253
55 138.7 0.239
55 161 0.074
55 203.3 0.013
55 247.8 0.003
78 3.1 0.267
78 9.9 0.267
78 19.5 0.261
78 40.1 0.253
78 60.7 0.253
78 80.8 0.253
78 100.2 0.281
78 119.8 0.267
78 140.1 0.225
78 160 0.081
78 200 0.028
78 251.1 0.004
82 3 0.407
82 10.3 0.38
82 20.3 0.309
82 40.8 0.435
82 59.1 0.296
82 79.2 0.309
82 99.8 0.211
82 120.4 0.097
82 140.4 0.046
82 159.8 0.097
82 200.9 0.02
82 249.7 0.006
97 3.8 0.345
97 10.9 0.331
97 21.6 0.345
97 40 0.345
97 60.4 0.331
97 79.2 0.36
97 99.5 0.331
97 120.3 0.345
97 139.8 0.166
97 162 0.088
97 201.8 0.066
97 250.1 0.008
124 3.1 0.066
124 9.9 0.064
124 19.7 0.059
124 40.4 0.083
124 60.4 0.12
124 80.3 0.331
124 101.6 0.301
124 140.1 0.067
124 159.8 0.036
124 200 0.029
124 250.3 0.004
152 3.6 0.043
152 8.9 0.05
152 19.4 0.066
152 39.8 0.066
152 60.7 0.109
152 80.5 0.23
152 99.9 0.373
152 120.2 0.201
152 139.8 0.114
152 161.8 0.036
152 201.2 0.029
152 251 0.007
155 3.1 0.05
155 20.6 0.041
155 40.1 0.048
155 60.5 0.066
155 80.3 0.083
155 101.1 0.151
155 121.4 0.244
155 140.9 0.078
187 3.6 0.036
187 9.3 0.037
187 20.2 0.034
187 40.9 0.063
187 59.6 0.078
187 80.4 0.129
187 100.3 0.273
187 121.4 0.201
187 140 0.073
187 160.1 0.027
187 200.3 0.005
187 251.2 0.003
215 3.7 0.063
215 9.2 0.07
215 19.6 0.071
215 39.3 0.077
215 60.5 0.098
215 79.9 0.187
215 99.6 0.288
215 120.1 0.288
215 140.6 0.151
215 158.9 0.093
215 200 0.009
215 249 0.001
258 3.2 0.043
258 9.3 0.052
258 20.7 0.057
258 40.6 0.071
258 61.1 0.087
258 81.3 0.124
258 100.2 0.171
258 118.3 0.273
258 140.2 0.201
258 199.8 0.027
258 249.5 0.006
285 1.5 0.034
285 10 0.046
285 19.7 0.057
285 39.1 0.078
285 60.1 0.073
285 79.4 0.166
285 99.8 0.474
285 119.6 0.273
285 138.9 0.109
285 160.1 0.067
285 200.7 0.008
285 249.2 0.002
314 3.1 0.109
314 10.6 0.109
314 20.7 0.12
314 40.2 0.124
314 59.1 0.135
314 81 0.273
314 100.9 0.273
314 120.5 0.104
314 140.3 0.048
314 159 0.027
314 200.6 0.005
314 252.8 0.003
343 2.5 0.136
343 10.7 0.141
343 20.4 0.136
343 41.4 0.132
343 79.5 0.149
343 101.2 0.237
343 139.9 0.052
343 158.7 0.025
343 200 0.006
343 252 0.001
29 3.2 0.216
29 10.1 0.216
29 20.9 0.183
29 39.1 0.219
29 56.9 0.216
29 80.2 0.227
29 99.3 0.223
29 120.2 0.249
29 139.5 0.226
29 158 0.065
29 200 0.002
29 250.7 0.007
46 2.6 0.088
46 10.7 0.154
46 20.4 0.134
46 40 0.324
46 60.9 0.317
46 79.5 0.175
46 99.2 0.17
46 120.7 0.266
46 139.3 0.177
46 158.9 0.085
46 199.4 0.01
46 250.3 0.002
74 3.4 0.163
74 10.8 0.302
74 20.7 0.261
74 40.9 0.234
74 60.3 0.204
74 80.1 0.084
74 99.8 0.057
74 120 0.031
74 139.9 0.006
74 160.1 0.018
74 200 0.024
74 251.1 0.031
88 3 0.059
88 19.7 0.062
88 39.4 0.087
88 59 0.08
88 80.5 0.031
88 100.8 0.027
88 120.6 0.01
88 139 0.008
88 160.5 0.002
88 201.6 0
88 250.4 0.001
102 3.7 0.151
102 9.2 0.151
102 19.8 0.139
102 39.9 0.182
102 60.4 0.507
102 80.3 0.261
102 101.5 0.062
102 119 0.033
102 139.8 0.004
102 159.9 0.003
102 200.4 0.006
102 251.1 0.002
131 3.5 0.045
131 10.3 0.052
131 20.2 0.035
131 39.2 0.066
131 61 0.141
131 79.3 0.402
131 100.1 0.152
131 118.8 0.051
131 138.9 0.043
131 161 0.011
131 200.2 0.012
131 250.6 0.004
158 3.2 0.005
158 9.8 0.006
158 19.4 0.016
158 39.6 0.006
158 59.8 0.017
158 100 0.077
158 120.1 0.038
158 138.9 0.021
158 160.9 0.007
158 200 0.004
158 250.5 0.002
193 3.2 0.024
193 10.2 0.013
193 20.2 0.016
193 40.2 0.026
193 60 0.096
193 80.7 0.071
193 99.4 0.16
193 120.3 0.141
193 140 0.029
193 160.3 0.022
193 199.6 0
193 249.7 0.001
221 3.1 0.008
221 10.5 0.006
221 20.7 0.012
221 40.3 0.013
221 59.8 0.016
221 79.6 0.127
221 100.2 0.019
221 120.2 0.005
221 140.2 0.002
221 159 0.001
221 199.8 0.001
221 250.3 0.001
257 3.9 0.02
257 9.5 0.021
257 20.2 0.026
257 39.1 0.061
257 60.1 0.07
257 80.1 0.116
257 99.2 0.139
257 120.4 0.091
257 140.1 0.049
257 159.2 0.039
257 200.4 0.003
257 249.5 0.001
292 4 0.018
292 8.6 0.017
292 20.6 0.012
292 39.7 0.016
292 58.7 0.03
292 80 0.03
292 100.7 0.088
292 119.8 0.028
292 141.8 0.014
292 159.3 0.014
292 200.9 0.003
292 250.6 0.001
319 4.2 0.107
319 10.2 0.149
319 19.7 0.101
319 41.6 0.122
319 59.4 0.132
319 79.2 0.281
319 100.5 0.255
319 118.3 0.172
319 140.5 0.098
319 158.9 0.046
319 201.8 0.009
319 249.6 0.003
347 4.1 0.017
347 9.9 0.007
347 19.6 0.007
347 39.8 0.009
347 60.3 0.007
347 79.8 0.015
347 100.1 0.007
347 119.5 0.005
347 141.9 0.001
347 158.8 0
347 199.9 0.001
347 249.8 0
30 3.8 0.268
30 10.7 0.27
30 19.4 0.263
30 39.9 0.278
30 59.9 0.275
30 79.5 0.276
30 100.2 0.263
30 120.5 0.252
30 139.8 0.154
30 160.2 0.047
30 200.4 0.01
30 247.8 0.003
51 4 0.249
51 10.2 0.331
51 20.9 0.324
51 40 0.329
51 60.4 0.316
51 80.8 0.326
51 100.9 0.147
51 120.5 0.031
51 138.3 0.026
51 160 0.019
51 199.9 0.017
51 250.3 0.003
68 4.1 0.337
68 9.5 0.329
68 19.4 0.408
68 39 0.465
68 58.8 0.58
68 80.3 0.513
68 101.8 0.435
68 117.1 0.324
68 140.6 0.515
68 161.7 0.47
68 199.3 0.262
68 249.7 0.039
79 4 0.212
79 9.9 0.205
79 19.7 0.19
79 39.7 0.213
79 60.9 0.198
79 80.1 0.245
79 100 0.209
79 121.6 0.221
79 139.4 0.16
79 159.2 0.122
79 201.2 0.071
79 250.6 0.056
94 4.6 0.232
94 9.7 0.199
94 20.3 0.206
94 39.7 0.263
94 59.4 0.261
94 79.9 0.288
94 98.5 0.209
94 118.6 0.211
94 140.9 0.095
94 200.2 0.009
94 252.1 0.001
108 3.9 0.05
108 10.2 0.119
108 20.8 0.05
108 40.7 0.137
108 62.9 0.307
108 81.6 0.527
108 100.2 0.268
108 120 0.173
108 141.9 0.062
108 160.6 0.091
108 200.8 0.009
108 245.9 0.002
135 4.9 0.039
135 10.3 0.015
135 19.4 0.023
135 39.9 0.06
135 60.2 0.032
135 80.2 0.09
135 101.2 0.108
135 140 0.08
135 159.7 0
135 200.4 0.003
135 250.4 0.002
156 3.9 0.045
156 9.6 0.044
156 20.2 0.039
156 40.6 0.056
156 60.2 0.098
156 80.3 0.109
156 100.5 0.149
156 120.4 0.234
156 139.7 0.319
156 160.7 0.213
156 199.4 0.059
156 249.1 0.003
199 3.9 0.068
199 10.1 0.047
199 19.7 0.058
199 38.9 0.086
199 60.5 0.11
199 79.6 0.247
199 100.4 0.347
199 120 0.074
199 140.1 0.069
199 159.1 0.019
199 199.8 0.017
199 249.8 0.006
219 3.5 0.062
219 10.1 0.065
219 19.5 0.073
219 41 0.12
219 59.8 0.165
219 80.9 0.273
219 100.4 0.261
219 120.7 0.203
219 140.5 0.136
219 159.2 0.105
219 200.1 0.037
219 249.8 0.003
255 3 0.054
255 11.4 0.049
255 20.2 0.053
255 38.7 0.084
255 61.1 0.126
255 80.7 0.204
255 98.1 0.27
255 120.2 0.163
255 141 0.09
255 161 0.036
255 201.2 0.003
255 250.3 0.001
289 3.7 0.095
289 10.1 0.1
289 21.3 0.103
289 40.4 0.118
289 60.1 0.126
289 80.1 0.38
289 100.9 0.205
289 120.3 0.051
289 139.8 0.034
289 160.2 0.017
289 199.4 0.035
289 251.4 0.02
313 3.3 0.057
313 10.3 0.082
313 20.6 0.078
313 39.8 0.063
313 61.5 0.142
313 81.5 0.142
313 101.5 0.194
313 119.7 0.115
313 143.2 0.075
313 160.2 0.041
313 200.7 0.054
313 251 0.006
345 4.7 0.119
345 9.6 0.11
345 20.3 0.128
345 39.1 0.084
345 60.6 0.118
345 78.9 0.131
345 99.7 0.143
345 119.5 0.088
345 141.1 0.017
345 161 0.022
345 201.4 0.03
345 248.5 0.012
44 3.2 0.068
44 9.1 0.071
44 12.3 0.067
44 38 0.064
44 59.2 0.072
44 80.5 0.071
44 100.9 0.028
44 120.4 0.06
44 140.8 0.054
44 160.2 0.041
44 199.3 0.073
44 250.4 0.006
58 4.3 0.261
58 10.5 0.256
58 21.4 0.239
58 40.4 0.336
58 61.1 0.336
58 81.5 0.157
58 100.4 0.152
58 120.2 0.121
58 138.7 0.089
58 158.8 0.067
58 201 0.077
58 248.3 0.052
66 4 0.034
66 9.4 0.234
66 20.2 0.179
66 39.5 0.224
66 58.8 0.224
66 79.7 0.221
66 99.9 0.244
66 119.6 0.078
66 140.7 0.044
66 159.9 0.017
66 201.6 0.005
66 248.3 0.001
78 3.5 0.131
78 10.2 0.159
78 19.8 0.148
78 40.4 0.209
78 58.3 0.255
78 80.4 0.138
78 100.1 0.033
78 119.6 0.086
78 139.6 0.129
78 159.9 0.098
78 199.5 0
78 249.3 0
106 4.1 0.046
106 9.7 0.056
106 20.9 0.05
106 40.5 0.085
106 60.9 0.081
106 80.5 0.121
106 100.1 0.202
106 119.1 0.253
106 140 0.181
106 160.5 0.081
106 199.9 0.031
106 249.9 0.01
134 3.5 0.065
134 10.2 0.069
134 20 0.067
134 39.6 0.09
134 58.7 0.188
134 79.6 0.573
134 100.6 0.191
134 119.8 0.033
134 140 0.011
134 161.3 0.008
134 201.6 0.012
134 253 0.026
155 3.4 0.048
155 10.9 0.033
155 20.3 0.046
155 40.6 0.055
155 60.4 0.095
155 80.6 0.207
155 101.5 0.204
155 120 0.1
155 139.9 0.025
155 159.8 0.008
155 199.2 0.003
183 3.6 0.05
183 10.2 0.052
183 19.9 0.046
183 40.6 0.062
183 60.1 0.084
183 80.4 0.115
183 99.9 0.165
183 120.6 0.199
183 140.9 0.23
183 159.7 0.049
183 200.1 0.004
183 247.8 0.001
260 4.1 0.064
260 10.3 0.077
260 20 0.084
260 39.9 0.076
260 59.5 0.16
260 80.3 0.208
260 100.4 0.213
260 118.5 0.116
260 141.5 0.152
260 159.9 0.072
260 199.2 0.037
260 249.7 0.012
281 4 0.015
281 10.7 0.064
281 20.6 0.037
281 39.9 0.034
281 60.2 0.031
281 80.6 0.051
281 100.3 0.278
281 119.5 0.158
281 140.5 0.025
281 159.6 0.006
281 201 0.001
317 3.7 0.065
317 10.9 0.076
317 19.7 0.06
317 41 0.065
317 60.3 0.112
317 79.2 0.126
317 101.3 0.163
317 121.5 0.078
317 140.8 0.026
317 160.1 0.022
317 199.9 0.021
317 250.4 0.002
344 3.7 0.165
344 10.7 0.168
344 20.6 0.173
344 40.7 0.163
344 59.3 0.16
344 80.5 0.178
344 99.4 0.12
344 120.1 0.084
344 139.2 0.064
344 160.7 0.016
344 200.3 0.003
344 249.4 0.001
35 4.9 0.137
35 9.6 0.229
35 18.7 0.285
35 39.2 0.203
35 58.7 0.319
35 79.3 0.113
35 100.1 0.064
35 119.9 0.261
35 141.6 0.084
35 159.8 0.002
35 202.4 0.01
35 252 0.038
52 3.8 0.156
52 10.5 0.193
52 20 0.245
52 39.7 0.378
52 59.5 0.409
52 79.6 0.383
52 100.3 0.175
52 120.6 0.151
52 140.1 0.073
52 160.2 0.023
52 250.9 0.002
63 4 0.445
63 9.6 0.461
63 18.7 0.405
63 38.4 0.451
63 60.4 0.285
63 79.8 0.158
63 99.5 0.167
63 120.5 0.08
63 138.7 0.059
63 159.8 0.066
63 199.4 0.038
63 248.4 0.01
80 4.6 0.06
80 10 0.06
80 19 0.234
80 40.4 0.093
80 59.7 0.019
80 78.7 0.072
80 98.4 0.013
80 119.3 0.002
80 139.7 0.02
80 159.8 0.016
80 199.4 0.007
80 249.1 0.002
93 3.6 0.29
93 9.7 0.239
93 19.2 0.297
93 40.4 0.261
93 60.1 0.331
93 79.3 0.319
93 98.4 0.115
93 119.4 0.075
93 138.5 0.077
93 158.5 0.01
93 199.5 0.005
93 250.7 0.002
112 3.8 0.064
112 10.2 0.061
112 20.7 0.064
112 40.1 0.067
112 60.4 0.09
112 80.9 0.168
112 99.7 0.286
112 119.8 0.208
112 139.7 0.035
112 161.2 0.017
112 201.2 0.009
112 250.7 0.001
140 4.1 0.064
140 10.8 0.061
140 19.3 0.064
140 40.9 0.067
140 60 0.09
140 80.1 0.168
140 99.6 0.286
140 120.2 0.208
140 140.9 0.061
140 160.7 0.022
140 200.5 0.005
140 251.4 0.004
185 3.5 0.019
185 9.8 0.018
185 19.2 0.015
185 39.7 0.025
185 60 0.025
185 80.2 0.036
185 99 0.115
185 119.5 0.106
185 140.2 0.026
185 159.8 0
185 201 0
185 250 0
196 2.9 0.031
196 10.1 0.039
196 20.3 0.043
196 40.2 0.067
196 59.4 0.079
196 79.7 0.074
196 100.2 0.158
196 120.8 0.064
196 141 0.141
196 162.3 0.04
196 200.1 0.002
196 250.1 0
224 2.7 0.046
224 8.9 0.045
224 19.9 0.031
224 38.9 0.08
224 58.5 0.096
224 79.1 0.08
224 100.9 0.122
224 118.6 0.208
224 160.3 0.018
224 200 0.025
224 251 0
262 3.5 0.092
262 10.9 0.087
262 21.3 0.106
262 39.7 0.083
262 62 0.17
262 81.4 0.374
262 101.4 0.085
262 120.7 0.036
262 139.4 0.054
262 160.8 0.043
262 201.6 0.014
262 252.2 0.002
280 3.6 0.082
280 9.3 0.042
280 20.1 0.055
280 40.9 0.082
280 59.7 0.12
280 80.6 0.185
280 100.7 0.271
280 120.6 0.151
280 141.8 0.018
280 160 0.007
280 202.3 0
280 250.2 0.001
308 3.6 0.134
308 9.4 0.122
308 19.7 0.118
308 39.7 0.115
308 160.2 0.003
308 198.7 0.001
308 250.3 0.002
308 59.3 0.082
308 79.5 0.47
308 100 0.064
308 119 0.055
308 139.6 0.017
336 3 0.143
336 9.8 0.149
336 19.1 0.149
336 38.9 0.163
336 59 0.146
336 79.4 0.19
336 99.6 0.368
336 120.1 0.224
336 139.7 0.129
336 160.1 0.032
336 199.4 0.003
336 249.8 0.001
27 3.5 0.391
27 10.5 0.378
27 19.1 0.373
27 40.2 0.348
27 60.1 0.291
27 80.6 0.331
27 100.1 0.283
27 119.7 0.214
27 140.7 0.149
27 161 0.022
27 199.7 0.009
27 250 0.002
69 3.9 0.185
69 10.2 0.185
69 20 0.185
69 38.2 0.214
69 59.2 0.214
69 79 0.253
69 99.1 0.107
69 118.6 0.146
69 138.5 0.039
69 160.9 0.058
69 199.6 0.019
69 252.9 0.01
83 3.7 1.259
83 10.7 1.603
83 20.5 2.109
83 39.4 2.453
83 60.4 2.895
83 80.7 2.813
83 99.6 2.83
83 119.7 2.617
83 142.2 2.011
83 160.6 0.981
83 201 0.961
83 249.5 0.186
98 2.6 2.922
98 13.2 1.948
98 22.3 2.922
98 43.3 1.948
98 61.9 2.922
98 82.1 1.948
98 102 1.948
98 121.2 1.948
98 141 0.974
98 161.9 0.974
98 203.4 0
98 252.9 0
112 3.4 2.142
112 9.4 2.976
112 20.4 3.304
112 39.6 2.65
112 59.9 2.764
112 80.6 2.633
112 100.2 2.028
112 121.4 1.177
112 140.8 0.646
112 161.3 0.425
112 200.5 0.123
112 250 0.261
167 3.4 0.074
167 10.3 0.061
167 20.2 0.052
167 39 0.056
167 59.9 0.142
167 79 0.257
167 100.6 0.332
167 119.7 0.122
167 139.6 0.041
167 159.6 0.011
167 248.9 0.06
196 2.2 0.391
196 11 0.378
196 20.5 0.373
196 40.2 0.348
196 59.5 0.291
196 81 0.321
196 100.2 0.275
196 119.6 0.214
196 138.9 0.149
196 160.4 0.022
196 200.5 0.009
196 249.3 0.002
230 2.9 0.042
230 10 0.065
230 20 0.045
230 40.4 0.05
230 59.6 0.093
230 80.3 0.157
230 100.4 0.237
230 119.7 0.343
230 139.4 0.08
230 160.3 0.095
230 199.5 0.051
230 249.9 0.003
258 2.7 0.048
258 10.4 0.031
258 21.1 0.046
258 40 0.082
258 60.3 0.06
258 79.8 0.196
258 100 0.224
258 120.8 0.142
258 140.1 0.077
258 160.5 0.021
258 200.7 0.004
258 251.3 0.001
287 2.9 0.079
287 8.6 0.087
287 20.3 0.074
287 40.6 0.063
287 60.9 0.158
287 80.2 0.185
287 99.5 0.324
287 118.2 0.29
287 138.9 0.093
287 158.8 0.031
287 205 0.001
139 39.9 0.975
139 39.8 0.975
139 90.2 0.974
139 90.1 0.974
139 139.8 0.974
139 139.8 0.974
229 4 0.059
229 9.7 0.029
229 19.9 0.029
229 39.4 0.02
229 58.8 0.068
229 79.9 0.156
229 99.1 0.175
229 118.8 0.156
229 139.6 0.078
229 159.7 0.049
229 201.2 0.01
251 5.9 0.078
251 10.3 0.088
251 19.9 0.078
251 39.5 0.127
251 59.7 0.195
251 80.4 0.234
251 101.2 0.175
251 120.6 0.088
251 139.3 0.058
251 161 0.049
251 198.7 0.01
279 3.8 0.049
279 9.5 0.049
279 19.6 0.049
279 39.2 0.049
279 60.2 0.127
279 80 0.205
279 101.9 0.205
279 120.5 0.068
279 139.9 0.039
279 160.1 0.01
279 201.9 0
281 99.6 0.195
281 140.5 0.049
281 179.3 0.01
281 199.9 0.01
318 4.4 0.117
318 10.1 0.107
318 21.3 0.117
318 39.3 0.098
318 58.7 0.195
318 79 0.205
318 99 0.068
318 119.5 0.029
318 140.5 0.01
318 160.3 0
318 199.9 0.01
340 5.7 0.107
340 8.9 0.107
340 19.3 0.059
340 38.4 0.117
340 59.9 0.127
340 81.8 0.253
340 101.7 0.088
340 121.3 0.049
340 140.4 0.019
340 157.4 0.01
340 198.6 0
17 3.6 0.127
17 10.1 0.185
17 19.7 0.175
17 40.9 0.166
17 59.3 0.175
17 80.6 0.146
17 100.1 0.136
17 120.7 0.058
17 139.4 0.01
17 160.7 0.01
17 199.9 0
17 250.8 0
43 4.6 0.088
43 8.5 0.088
43 20.3 0.078
43 39.8 0.097
43 78.6 0.195
43 78.6 0.214
43 100.6 0.156
43 119.4 0.088
43 138.9 0.039
43 158.5 0.019
54 4.4 0.078
54 9.7 0.078
54 20.2 0.078
54 40.7 0.117
54 60.3 0.156
54 81 0.175
54 101.2 0.166
54 119.5 0.146
