"DOY" "Depth" "POP"
293 20 0.01
293 48.5 0.009
293 80 0.015
293 100.3 0.008
293 119.8 0.005
293 140.3 0.003
293 200.8 0.004
293 301.2 0.003
293 400.2 0.002
293 3.2 0.007
293 19.6 0.009
293 48.4 0.008
293 79.4 0.009
293 99.2 0.005
293 120 0.011
293 139.2 0.003
293 200.5 0.002
293 300.2 0.002
293 400.3 0.001
294 5.3 0.007
294 20.1 0.007
294 49.9 0.007
294 80.3 0.008
294 100.7 0.008
294 121.9 0.004
294 138 0.003
294 199.8 0.002
294 300.4 0.001
294 400.2 0.002
294 3.6 0.006
294 18.7 0.006
294 50.2 0.005
294 82.1 0.007
294 100.6 0.007
294 120.5 0.006
294 139.7 0.003
294 201.1 0.001
294 301.2 0.002
294 403.1 0.001
295 9.6 0.005
295 50.2 0.006
295 80.3 0.006
295 100 0.008
295 119.7 0.007
295 140.1 0.004
295 200.5 0.002
295 299.8 0.001
295 401.2 0.002
295 9.7 0.005
295 49.1 0.005
295 78.9 0.007
295 99.4 0.007
295 118.6 0.008
295 139.4 0.005
295 199.9 0.002
295 249.2 0.002
295 300.1 0.002
295 9.6 0.006
295 48.1 0.008
295 80.1 0.006
295 99.5 0.007
295 118.3 0.006
295 140 0.004
295 200.9 0.005
295 300 0.002
295 399.3 0.002
295 499.6 0.003
296 10.1 0.005
296 49.9 0.005
296 80.3 0.006
296 100.4 0.006
296 120 0.006
296 140.6 0.004
296 200.9 0.002
296 301.9 0.003
296 402 0.002
296 9.7 0.005
296 51.1 0.006
296 81.5 0.007
296 99.8 0.007
296 121.3 0.007
296 139.1 0.004
296 200 0.002
296 300 0.001
296 399.6 0.002
297 10 0.006
297 50.6 0.006
297 80.1 0.007
297 99.6 0.007
297 120.6 0.004
297 140.2 0.003
297 199.3 0.001
297 250.7 0.001
297 300.4 0.001
297 499.4 0.001
297 8.4 0.009
297 49.8 0.007
297 79.7 0.011
297 99.9 0.004
297 120.4 0.011
297 138.8 0.005
297 198.8 0.001
