"DOY" "Depth" "PON"
323 159.4 0.138571428571429
323 129.8 0.143571428571429
323 100.1 0.217142857142857
323 79.9 0.314285714285714
323 60.8 0.342142857142857
323 40.6 0.291428571428571
323 20.3 0.31
323 10.1 0.161428571428571
323 161.3 0.0928571428571429
323 131.9 0.117142857142857
323 101.6 0.222142857142857
323 81.5 0.24
323 60.5 0.267857142857143
323 42.6 0.259285714285714
323 20 0.259285714285714
323 11.5 0.226428571428571
323 159.3 0.0692857142857143
323 128.5 0.0971428571428572
323 99.3 0.161428571428571
323 78.8 0.198571428571429
323 36.7 0.226428571428571
323 20.1 0.203571428571429
323 9.9 0.259285714285714
323 157.9 0.0692857142857143
323 127.7 0.147857142857143
323 100 0.194285714285714
323 79.2 0.259285714285714
323 57.9 0.194285714285714
323 41 0.231428571428571
323 19.9 0.203571428571429
323 10.3 0.217142857142857
323 163.8 0.152142857142857
323 131.9 0.157142857142857
323 100.6 0.222142857142857
323 78.4 0.272857142857143
323 59.3 0.231428571428571
323 39.2 0.222142857142857
323 20.2 0.203571428571429
323 9.8 0.226428571428571
324 159.8 0.13
324 128.9 0.143571428571429
324 98.1 0.215
324 79.2 0.165714285714286
324 59.5 0.287142857142857
324 40.5 0.229285714285714
324 19.3 0.278571428571429
324 10.1 0.255714285714286
324 158.5 0.112142857142857
324 130 0.156428571428571
324 100.1 0.278571428571429
324 80.6 0.363571428571429
324 59.2 0.265
324 39.6 0.282857142857143
324 19.4 0.260714285714286
324 8.4 0.251428571428571
324 159.3 0.0807142857142857
324 129.7 0.107142857142857
324 97.5 0.224285714285714
324 77.4 0.246428571428571
324 59.6 0.260714285714286
324 39.9 0.260714285714286
324 9.9 0.206428571428571
324 159.6 0.147857142857143
324 131.7 0.165714285714286
324 98.8 0.291428571428571
324 77.9 0.368571428571429
324 61.3 0.345714285714286
324 39.9 0.260714285714286
324 20.8 0.385714285714286
324 10.2 0.332142857142857
324 161 0.112142857142857
324 131.2 0.150714285714286
324 101.4 0.160714285714286
324 80.1 0.252142857142857
324 61.3 0.246428571428571
324 39 0.419285714285714
324 19.5 0.238571428571429
324 8.4 0.21
324 161.4 0.0671428571428571
324 130.3 0.085
324 101.4 0.188571428571429
324 79.7 0.206428571428571
324 60.7 0.287142857142857
324 40.3 0.22
324 20 0.251428571428571
324 10.1 0.242142857142857
324 158.7 0.143571428571429
324 129.1 0.192857142857143
324 100.9 0.251428571428571
324 79.7 0.260714285714286
324 59.4 0.323571428571429
324 39.7 0.165714285714286
324 20.2 0.323571428571429
324 11.8 0.22
324 160.9 0.112142857142857
324 130.6 0.175
324 100.3 0.165714285714286
324 79 0.269285714285714
324 59.9 0.260714285714286
324 39.8 0.278571428571429
324 19.6 0.237857142857143
324 8.8 0.292142857142857
325 161.5 0.147857142857143
325 130.4 0.13
325 101.4 0.278571428571429
325 79.4 0.332142857142857
325 61.1 0.278571428571429
325 40.2 0.242857142857143
325 19.9 0.237857142857143
325 10.5 0.224285714285714
325 159.9 0.188571428571429
325 128.1 0.229285714285714
325 98.8 0.31
325 79.6 0.327857142857143
325 61.1 0.314285714285714
325 38.3 0.323571428571429
325 20.4 0.323571428571429
325 8.6 0.282857142857143
325 160 0.121428571428571
325 129 0.18
325 99.8 0.269285714285714
325 77.3 0.300714285714286
325 60.2 0.449285714285714
325 39.9 0.265
325 19.3 0.27
325 9.4 0.265
325 160.6 0.152142857142857
325 129.8 0.192857142857143
325 100.9 0.291428571428571
325 80.9 0.354285714285714
325 60.3 0.265
325 39.9 0.368571428571429
325 19.8 0.255714285714286
325 19.3 0.251428571428571
325 160.5 0.102857142857143
325 129.4 0.192857142857143
325 101 0.287142857142857
325 80.5 0.363571428571429
325 61.1 0.260714285714286
325 40.2 0.265
325 19 0.229285714285714
325 9.4 0.332142857142857
325 161.4 0.116428571428571
325 129.9 0.139285714285714
325 99.6 0.237142857142857
325 78.8 0.4
325 59.7 0.278571428571429
325 39.8 0.246428571428571
325 20.2 0.301428571428571
325 9.6 0.242142857142857
325 159.5 0.13
325 130.6 0.152142857142857
325 99.4 0.237142857142857
325 81 0.449285714285714
325 57.8 0.314285714285714
325 39 0.237857142857143
325 21.7 0.246428571428571
325 9.9 0.260714285714286
294 4.3 0.344285714285714
294 19.6 0.28
