"DOY" "Depth" "DIP"
191 100 0.1
191 119.8 0.1
191 140 0.1
191 200.5 0.13
191 300.2 0.15
191 401.2 0.27
191 120.7 0.04
191 140.3 0.07
191 201.2 0.09
191 300.4 0.14
191 401.3 0.18
191 100.5 0.09
191 119.6 0.08
191 139.9 0.1
191 200.5 0.12
191 300.2 0.14
191 400.1 0.19
191 499.9 0.31
191 100.3 0.08
191 120.2 0.11
191 140.4 0.1
191 200.2 0.13
191 299.7 0.16
191 400 0.32
191 499.9 0.46
191 100.5 0.07
191 120.4 0.11
191 140.2 0.12
191 201.4 0.15
191 300.6 0.21
191 401.2 0.34
191 499.7 0.58
191 80.5 0.05
191 99.6 0.11
191 119.8 0.13
191 140.4 0.14
191 200.3 0.17
191 300.4 0.24
191 399.8 0.46
191 499.9 0.65
191 100.3 0.08
191 119.8 0.09
191 140.3 0.15
191 201 0.16
191 301.8 0.18
191 400.2 0.35
191 499.4 0.58
192 100.3 0.09
192 120.5 0.1
192 140.5 0.1
192 199.9 0.11
192 300.6 0.12
192 400.4 0.15
192 100.5 0.06
192 120 0.08
192 140 0.08
192 200 0.13
192 299.6 0.13
192 400.2 0.18
192 119.5 0.06
192 140.4 0.09
192 199.7 0.11
192 301.3 0.14
192 400.6 0.18
192 99.9 0.07
192 120.8 0.1
192 140.1 0.11
192 200 0.12
192 299.7 0.15
192 400.7 0.19
192 499.1 0.36
192 99.7 0.08
192 120.2 0.1
192 139.5 0.1
192 200.2 0.11
192 300.8 0.13
192 400.5 0.19
192 101.1 0.19
192 120.7 0.21
192 139.9 0.21
192 200.2 0.44
192 300 0.76
192 400.2 1.08
193 4.1 0.04
193 80.2 0.05
193 101.1 0.09
193 119.6 0.12
193 139.8 0.12
193 201.1 0.12
193 304.5 0.15
193 400.8 0.17
193 499.8 0.27
193 119.6 0.04
193 139.7 0.08
193 199.6 0.12
193 301.3 0.16
193 402.3 0.19
193 120.6 0.09
193 140.4 0.09
193 201.1 0.13
193 299 0.2
193 401.8 0.3
193 499.8 0.47
193 100.8 0.06
193 120.3 0.11
193 141 0.11
193 202.3 0.15
193 301.5 0.19
193 400.5 0.29
193 499.2 0.5
194 140.2 0.05
194 202.5 0.13
194 300.5 0.13
194 400.3 0.2
203 122.3 0.07
203 139.5 0.1
203 199 0.14
203 300.6 0.16
203 495.1 0.4
203 141.2 0.06
203 200.7 0.14
203 300.9 0.15
203 121 0.05
203 140.1 0.11
203 199.7 0.12
203 301.1 0.16
203 200.2 0.13
203 301.6 0.16
203 120.4 0.04
203 140 0.05
203 199.7 0.11
203 301.3 0.14
203 498.8 0.34
203 121 0.04
203 140.3 0.07
203 198.8 0.11
203 300.3 0.14
204 140.2 0.05
204 199.5 0.1
204 299.3 0.15
204 119.3 0.05
204 140.3 0.11
204 199.9 0.13
204 298.8 0.16
204 140.5 0.08
204 200.4 0.15
204 300.9 0.1
204 119.8 0.08
204 140.4 0.11
204 200.3 0.12
204 300.4 0.17
204 99.9 0.09
204 120.4 0.11
204 139.9 0.11
204 200.2 0.15
204 300.8 0.16
204 499.7 0.46
204 100.1 0.07
204 120.6 0.1
204 139.7 0.12
204 199.3 0.12
204 300.1 0.17
204 499.9 0.51
205 99.6 0.1
205 118.9 0.11
205 140.1 0.12
205 200.6 0.16
205 299.7 0.21
205 100 0.07
205 119.8 0.14
205 139.7 0.18
205 199.1 0.23
205 299.6 0.25
205 499.9 0.77
205 99.4 0.1
205 120.7 0.16
205 140.8 0.18
205 201.1 0.21
205 300.3 0.21
205 120.4 0.07
205 140.6 0.1
205 199.6 0.14
205 300.6 0.19
205 100.2 0.08
205 120.5 0.09
205 139.8 0.1
205 200.7 0.12
205 300.5 0.15
205 120.8 0.06
205 141.2 0.12
205 201.8 0.12
205 299.9 0.16
206 120.1 0.06
206 140.2 0.09
206 200.4 0.11
206 299.7 0.16
206 499.9 0.4
206 119.1 0.07
206 140.2 0.1
206 199.9 0.15
206 301.6 0.16
206 100.7 0.13
206 121.1 0.18
206 141.4 0.21
206 200.1 0.21
206 303.3 0.29
206 99.3 0.2
206 119.8 0.21
206 140 0.22
206 199.2 0.33
206 300.9 0.63
206 100.2 0.15
206 119.5 0.25
206 140.4 0.21
206 201 0.26
206 300.4 0.54
206 499.6 0.99
206 99.1 0.07
206 119.7 0.1
206 140.4 0.15
206 201.1 0.16
206 297.9 0.21
207 120.3 0.06
207 140.8 0.09
207 200 0.14
207 299 0.18
207 100.9 0.05
207 119.4 0.19
207 140.3 0.22
207 199.9 0.21
207 299.8 0.44
207 499.6 0.89
207 100.9 0.19
207 120.4 0.21
207 139.1 0.22
207 200.4 0.31
207 300.2 0.62
207 499.3 1.09
207 100.3 0.1
207 118.7 0.15
207 140.4 0.19
207 201.2 0.22
207 301.1 0.25
207 100.3 0.06
207 120 0.1
207 141.9 0.11
207 201.1 0.14
207 301.3 0.15
208 120.2 0.05
208 140.3 0.09
208 200.9 0.12
208 300.4 0.16
208 100.3 0.04
208 118.9 0.1
208 139.9 0.12
208 200.1 0.14
208 300 0.16
208 99.1 0.09
208 120.2 0.13
208 141.1 0.15
208 201.1 0.16
208 299.9 0.2
208 499.8 0.54
208 99 0.08
208 121.3 0.17
208 140.1 0.21
208 201.2 0.23
208 299.3 0.25
208 499.5 0.69
208 100.5 0.19
208 120 0.23
208 140.4 0.23
208 199.8 0.29
208 301.6 0.64
34 122.8 0.06
34 140.9 0.06
34 199.9 0.14
34 299.4 0.17
34 401.6 0.22
34 140.5 0.05
34 159.9 0.06
34 202.9 0.14
34 251.1 0.2
35 199.7 0.1
35 301.6 0.16
35 400.2 0.99
35 200.8 0.12
35 301.5 0.17
35 399.6 1.02
35 199.4 0.08
35 300.4 0.17
35 401.1 1.04
35 200.5 0.13
35 301 0.16
35 397.3 1.07
35 200.6 0.09
35 299.7 0.15
35 401.2 0.13
273 120.2 0.03
273 140.1 0.06
273 159.6 0.08
273 200.4 0.07
273 300.7 0.07
273 400.8 0.22
273 138.5 0.06
273 160.5 0.19
273 201.9 0.18
273 301.3 0.48
276 160.5 0.03
276 200.8 0.04
276 298.2 0.06
276 362.1 0.06
276 397.5 0.08
277 199.9 0.07
277 259.3 0.08
277 300.9 0.06
277 398.1 0.14
277 200.4 0.07
277 261.5 0.14
277 300.5 0.12
277 399.3 0.16
277 301.2 0.07
277 400.4 0.08
278 159.9 0.04
278 199 0.04
278 239.6 0.07
278 299.5 0.14
278 399.1 0.14
278 240.1 0.05
278 301.1 0.07
278 380.7 0.18
279 201.1 0.08
279 239.7 0.08
279 299.9 0.16
279 398.7 0.36
279 239.4 0.04
279 299.7 0.17
279 359.7 0.22
279 301.1 0.06
279 361.9 0.09
279 401.1 0.14
280 200 0.04
280 302.1 0.08
280 401.5 0.32
280 200.3 0.04
280 280.2 0.13
280 401.6 0.25
280 320.6 0.11
280 401.2 0.2
290 121.1 0.08
291 3.6 0.04
291 140.1 0.05
292 100.6 0.04
293 336.7 0.06
293 401.8 0.1
293 349.7 0.04
293 400.7 0.13
293 354.5 0.04
293 400.1 0.06
294 342.1 0.07
294 400.7 0.15
294 79.9 0.11
294 316.1 0.13
294 401.6 0.3
295 200.6 0.04
295 304.8 0.08
295 400.1 0.16
296 309.8 0.09
296 400.7 0.19
296 300.5 0.08
296 399.8 0.54
300 99.6 0.05
300 305.2 0.09
300 400.5 0.21
301 200 0.04
301 364.4 0.13
301 399.9 0.09
296 200.6 0.11
296 300.5 0.16
296 400 0.23
296 201.4 0.08
296 350 0.17
296 400.3 0.22
296 497.6 0.32
296 200.8 0.08
296 321.5 0.2
296 400.5 0.22
297 150.6 0.04
297 324.7 0.2
297 400 0.27
297 3.9 0.04
297 20.2 0.04
297 39.8 0.04
