"Volume","Aphy","Azoo"
0.268082573106329,0,619544.570749931
1.0117928632956,4132425109.55512,164036.716128796
3.81869207816756,4219506179.34845,122343869.103127
14.4124451919556,2615566674.04306,11096764.8765616
54.3952149477315,763479353.573434,2204136.80835783
205.297530696693,140573871.783594,15592512.8542726
774.830582996296,44822014.3016263,2716236.63662449
2924.35291505457,14053903.5178063,2267680.62965926
11037.0449482233,291345.038347965,572497.0649622
41655.8345478724,276834.354213117,200498.939268838
157216.769526615,159417.45421034,52028.9609522693
593364.960483003,0,20588.1499460851
2239468.33018594,0,4134.49455898213
8452164.74835888,0,2038.44608286766
31900021.9697096,0,1580.82608963504
120396541.23703,0,237.125126591673
454398657.016716,0,64.7338693578213
1714983980.24652,0,12.7548232890644
6472664492.03875,0,0.949294436951688
24429024474.3142,0,0.86158967415863
