"x","Regression","Conf_Lower","Conf_Upper","Slope"
-0.571731416713679,11.3209541339406,10.0448767690435,12.5970314988376,-1.3649134563345
-0.513466464340867,11.2414275164142,9.98415868858338,12.498696344245,-1.3649134563345
-0.455201511968054,11.1619008988879,9.92330833783492,12.4004934599408,-1.3649134563345
-0.396936559595241,11.0823742813615,9.86231964250952,12.3024289202136,-1.3649134563345
-0.338671607222429,11.0028476638352,9.80118619990246,12.2045091277679,-1.3649134563345
-0.280406654849616,10.9233210463089,9.73990126083728,12.1067408317804,-1.3649134563345
-0.222141702476804,10.8437944287825,9.67845771091156,12.0091311466535,-1.3649134563345
-0.163876750103991,10.7642678112562,9.61684805109039,11.911687571422,-1.3649134563345
-0.105611797731179,10.6847411937298,9.55506437771227,11.8144180097474,-1.3649134563345
-0.0473468453583664,10.6052145762035,9.49309836199552,11.7173307904115,-1.3649134563345
0.0109181070144461,10.5256879586771,9.43094122915979,11.6204346881945,-1.3649134563345
0.0691830593872585,10.4461613411508,9.3685837373089,11.5237389449927,-1.3649134563345
0.127448011760071,10.3666347236245,9.30601615625804,11.4272532909909,-1.3649134563345
0.185712964132884,10.2871081060981,9.2432282465304,11.3309879656659,-1.3649134563345
0.243977916505696,10.2075814885718,9.18020923879672,11.2349537383469,-1.3649134563345
0.302242868878509,10.1280548710454,9.11694781408627,11.1391619280046,-1.3649134563345
0.360507821251321,10.0485282535191,9.05343208515876,11.0436244218794,-1.3649134563345
0.418772773624134,9.96900163599277,8.9896495794951,10.9483536924904,-1.3649134563345
0.477037725996946,9.88947501846642,8.92558722443902,10.8533628124938,-1.3649134563345
0.535302678369759,9.80994840094008,8.86123133510231,10.7586654667779,-1.3649134563345
0.593567630742571,9.73042178341374,8.79656760573039,10.6642759610971,-1.3649134563345
0.651832583115384,9.6508951658874,8.73158110531317,10.5702092264616,-1.3649134563345
0.710097535488196,9.57136854836106,8.66625627831367,10.4764808184085,-1.3649134563345
0.768362487861009,9.49184193083472,8.60057695147157,10.3831069101979,-1.3649134563345
0.826627440233821,9.41231531330838,8.53452634771581,10.290104278901,-1.3649134563345
0.884892392606634,9.33278869578204,8.46808710828439,10.1974902832797,-1.3649134563345
0.943157344979446,9.2532620782557,8.40124132419283,10.1052828323186,-1.3649134563345
1.00142229735226,9.17373546072936,8.3339705782088,10.0135003432499,-1.3649134563345
1.05968724972507,9.09420884320302,8.26625599846867,9.92216168793736,-1.3649134563345
1.11795220209788,9.01468222567668,8.1980783248039,9.83128612654945,-1.3649134563345
1.1762171544707,8.93515560815034,8.1294179887198,9.74089322758087,-1.3649134563345
1.23448210684351,8.855628990624,8.06025520777813,9.65100277346986,-1.3649134563345
1.29274705921632,8.77610237309766,7.99057009486874,9.56163465132657,-1.3649134563345
1.35101201158913,8.69657575557132,7.92034278250943,9.4728087286332,-1.3649134563345
1.40927696396195,8.61704913804497,7.84955356188476,9.38454471420519,-1.3649134563345
1.46754191633476,8.53752252051863,7.77818303582782,9.29686200520945,-1.3649134563345
1.52580686870757,8.45799590299229,7.70621228437352,9.20977952161106,-1.3649134563345
1.58407182108038,8.37846928546595,7.63362304088619,9.12331553004571,-1.3649134563345
1.6423367734532,8.29894266793961,7.5603978761134,9.03748745976582,-1.3649134563345
1.70060172582601,8.21941605041327,7.48652038687672,8.95231171394982,-1.3649134563345
1.75886667819882,8.13988943288693,7.41197538551887,8.86780348025499,-1.3649134563345
1.81713163057163,8.06036281536059,7.33674908573073,8.78397654499045,-1.3649134563345
1.87539658294445,7.98083619783425,7.26082928002725,8.70084311564124,-1.3649134563345
1.93366153531726,7.90130958030791,7.18420550397098,8.61841365664484,-1.3649134563345
1.99192648769007,7.82178296278157,7.10686918229041,8.53669674327273,-1.3649134563345
2.05019144006288,7.74225634525523,7.028813752329,8.45569893818145,-1.3649134563345
2.1084563924357,7.66272972772889,6.95003476079391,8.37542469466386,-1.3649134563345
2.16672134480851,7.58320311020255,6.87052993053629,8.2958762898688,-1.3649134563345
2.22498629718132,7.5036764926762,6.79029919505258,8.21705379029982,-1.3649134563345
2.28325124955413,7.42414987514986,6.70934469949571,8.13895505080401,-1.3649134563345
2.34151620192695,7.34462325762352,6.62767076816055,8.0615757470865,-1.3649134563345
2.39978115429976,7.26509664009718,6.54528383958557,7.98490944060879,-1.3649134563345
2.45804610667257,7.18557002257084,6.46219237151879,7.9089476736229,-1.3649134563345
2.51631105904538,7.1060434050445,6.37840671896358,7.83368009112542,-1.3649134563345
2.5745760114182,7.02651678751816,6.29393898929597,7.75909458574035,-1.3649134563345
2.63284096379101,6.94699016999182,6.20880287899222,7.68517746099142,-1.3649134563345
2.69110591616382,6.86746355246548,6.12301349680922,7.61191360812173,-1.3649134563345
2.74937086853663,6.78793693493914,6.0365871783225,7.53928669155578,-1.3649134563345
2.80763582090945,6.7084103174128,5.9495412965685,7.46727933825709,-1.3649134563345
2.86590077328226,6.62888369988646,5.86189407319357,7.39587332657934,-1.3649134563345
2.92416572565507,6.54935708236012,5.77366439402291,7.32504977069733,-1.3649134563345
2.98243067802788,6.46983046483378,5.68487163237621,7.25478929729134,-1.3649134563345
3.0406956304007,6.39030384730744,5.5955354828172,7.18507221179767,-1.3649134563345
3.09896058277351,6.31077722978109,5.50567580737281,7.11587865218938,-1.3649134563345
3.15722553514632,6.23125061225475,5.41531249562996,7.04718872887955,-1.3649134563345
3.21549048751913,6.15172399472841,5.32446533953851,6.97898264991831,-1.3649134563345
3.27375543989195,6.07219737720207,5.23315392323798,6.91124083116617,-1.3649134563345
